iter	Passed	Remaining
857	1156	191
858	1157	189
859	1158	188
860	1159	187
861	1160	185
862	1161	184
863	1162	182
864	1163	181
865	1164	180
866	1165	178
867	1166	177
868	1167	175
869	1169	174
870	1170	173
871	1171	171
872	1172	170
873	1173	169
874	1174	167
875	1175	166
876	1179	165
877	1180	163
878	1181	162
879	1182	161
880	1183	159
881	1184	158
882	1185	157
883	1186	155
884	1187	154
885	1188	152
886	1189	151
887	1191	150
888	1192	148
889	1193	147
890	1194	146
891	1196	144
892	1197	143
893	1198	142
894	1200	140
895	1201	139
896	1202	138
897	1203	136
898	1204	135
899	1205	133
900	1207	132
901	1208	131
902	1210	130
903	1211	128
904	1213	127
905	1214	126
906	1215	124
907	1216	123
908	1217	121
909	1218	120
910	1219	119
911	1221	117
912	1222	116
913	1223	115
914	1225	113
915	1226	112
916	1226	111
917	1228	109
918	1229	108
919	1230	106
920	1231	105
921	1232	104
922	1233	102
923	1234	101
924	1235	100
925	1236	98
926	1237	97
927	1238	96
928	1239	94
929	1240	93
930	1240	91
931	1242	90
932	1243	89
933	1244	87
934	1245	86
935	1246	85
936	1247	83
937	1248	82
938	1249	81
939	1251	79
940	1252	78
941	1253	77
942	1254	75
943	1255	74
944	1256	73
945	1256	71
946	1258	70
947	1259	69
948	1260	67
949	1261	66
950	1262	65
951	1263	63
952	1264	62
953	1265	61
954	1266	59
955	1267	58
956	1268	56
957	1269	55
958	1270	54
959	1271	52
960	1272	51
961	1273	50
962	1274	48
963	1275	47
964	1276	46
965	1277	44
966	1278	43
967	1279	42
968	1280	40
969	1281	39
970	1282	38
971	1283	36
972	1284	35
973	1285	34
974	1286	32
975	1287	31
976	1290	30
977	1291	29
978	1292	27
979	1293	26
980	1293	25
981	1294	23
982	1295	22
983	1296	21
984	1297	19
985	1298	18
986	1299	17
987	1300	15
988	1301	14
989	1302	13
990	1305	11
991	1306	10
992	1307	9
993	1308	7
994	1309	6
995	1310	5
996	1311	3
997	1312	2
998	1313	1
999	1314	0
